Taxa	EarHT	dpoll	EarDia
811	59.5	NaN	NaN
4226	65.5	59.5	32.21933
4722	81.13	71.5	32.421
33-16	64.75	64.5	NaN
38-11	92.25	68.5	37.897
A188	27.5	62	31.419
A214N	65	69	32.006
A239	47.88	61	36.064
A272	35.63	70	NaN
A441-5	53.5	67.5	35.008
A554	38.5	66	33.41775
A556	28	65	31.929
A6	109.5	80.5	31.5175
A619	36	61	40.63
A632	60	61	35.953
A634	54	59	35.601
A635	37	64	35.3005
A641	54.5	66	33.727
A654	39	64	NaN
A659	46.5	58.5	38.84617
A661	51.5	59	39.323
A679	65	66	42.471
A680	68	65.5	41.152
A682	47	57.5	35.928
AB28A	73.5	78	32.504
B10	74	69	36.561
B103	37	57.5	NaN
B104	56.25	64.5	44.773
B105	67.5	68	39.857
B109	67	64	38.951
B115	68	65.5	37.05975
B14A	57	63.5	38.067
B164	66	58	35.562
B2	39.5	70	NaN
B37	72.5	65.5	36.4475
B46	42	69	40.699
B52	72.5	70	NaN
B57	41	65	37.87475
B64	74.5	68.5	37.221
B68	65	71.5	38.889
B73	83.25	70	41.633
B73HTRHM	73	67	42.956
B75	56	62	38.2075
B76	53	61.5	35.33575
B77	50	65	39.028
B79	66.5	66.5	41.61
B84	72	67.5	37.622
B97	53	60.5	37.665
C103	52.5	66.5	34.91575
C123	32	62.5	NaN
C49	22	55.5	32.93267
C49A	22.5	57	28.544
CH701-30	61	60	33.5835
CH9	41.5	67.5	38.90333
CI187-2	62.63	70.5	34.085
CI21E	64	68	40.991
CI28A	72.5	66.5	37.328
CI31A	74	73	NaN
CI3A	66.5	70	44.051
CI44	57	73	40.172
CI64	64.5	70.5	41.403
CI66	47	75	32.5045
CI7	84.67	68.5	37.889
CI90C	63.5	67.5	33.92475
CI91B	49	66.5	35.53867
CM105	31.5	65.5	36.218
CM174	34.5	64	32.9705
CM37	24	57.5	25.74375
CM7	28	61.5	31.667
CML10	110	77	33.33867
CML103	88.5	69	42.029
CML108	55.5	71.5	40.739
CML11	97.25	80.5	33.48683
CML14	80	82	30.863
CML154Q	61	72.5	42.933
CML157Q	111.5	71.5	40.303
CML158Q	74	74.5	41.6995
CML218	62	69	35.57
CML220	44	63.5	40.216
CML228	74	72.5	31.339
CML238	57.5	74	42.477
CML247	68.5	78	37.79683
CML254	70	NaN	NaN
CML258	133	81	37.02083
CML261	104.17	77	37.46267
CML264	60.5	82	NaN
CML277	82.5	75	39.036
CML281	73.5	81	NaN
CML287	95	75	37.24
CML311	89.25	NaN	NaN
CML314	81.5	69	38.929
CML321	82	79.5	39.339
CML322	66.75	68	40.0235
CML323	63	70.5	39.081
CML328	74.5	65	34.876
CML331	59	77	NaN
CML332	66.5	70.5	37.182
CML333	97.5	69	36.581
CML341	94.63	73	42.116
CML349	55.25	68.5	NaN
CML38	82.5	75.5	32.36083
CML45	45	82.5	NaN
CML5	94.25	78	NaN
CML52	104.33	81	32.69017
CML69	76	73.5	37.723
CML77	63	68.5	43.716
CML91	64.5	69.5	39.435
CML92	68	71.5	40.503
CMV3	32.5	59.5	NaN
CO106	34.5	55	NaN
CO109	26.5	61.5	NaN
CO125	32.13	60	31.788
CO255	38	61.5	32.06183
D940Y	74	71.5	34.624
DE1	64.5	69	44.774
DE2	57.5	65.5	46.353
DE3	70	65	44.496
DE811	80	72.5	35.45125
E2558W	59.5	67.5	37.38
EP1	37.08	62	NaN
F2	34	63.5	27.147
F2834T	40	62	33.28333
F44	94	75	36.49875
F6	101.5	77	NaN
F7	27.5	58	27.689
GA209	76.33	74.5	34.958
GT112	136	78.5	NaN
H100	56	64.5	41.0735
H105W	44.5	61.5	40.51
H49	58	61.5	39.416
H84	48	64	41.838
H91	60	64.5	39.201
